feature,importance
ORGANIZATION_TYPE_Services,0.0021055604
user_segment_Axis_Tamil Nadu_46-55,0.0021043036
user_segment_Kotak_Rajasthan_18-25,0.00210219
user_segment_SBI_Delhi_26-35,0.0020989117
user_segment_SBI_Andhra Pradesh_46-55,0.0020981622
OCCUPATION_TYPE_Accountants,0.0020966523
user_segment_ICICI_Andhra Pradesh_26-35,0.002093773
user_segment_HDFC_West Bengal_18-25,0.0020906988
transaction_volatility,0.0020900525
user_segment_PNB_Tamil Nadu_18-25,0.0020802093
avg_transaction_amount,0.0020798808
ORGANIZATION_TYPE_Business Entity Type 1,0.002079731
user_segment_IndusInd_Uttar Pradesh_36-45,0.0020752086
NAME_FAMILY_STATUS_Separated,0.002072341
ORGANIZATION_TYPE_Industry: type 9,0.002071518
user_segment_IndusInd_West Bengal_46-55,0.0020705091
user_segment_Yes Bank_Karnataka_26-35,0.0020678919
user_segment_IndusInd_Andhra Pradesh_26-35,0.0020664174
user_segment_PNB_Uttar Pradesh_18-25,0.0020660956
ORGANIZATION_TYPE_Police,0.0020648749
user_segment_Axis_Tamil Nadu_56+,0.0020602113
user_segment_IndusInd_Rajasthan_36-45,0.002059645
user_segment_Kotak_Telangana_36-45,0.002059217
user_segment_Yes Bank_Andhra Pradesh_46-55,0.0020568059
user_segment_Yes Bank_West Bengal_18-25,0.0020496885
user_segment_ICICI_Gujarat_26-35,0.0020474917
FLAG_DOCUMENT_14,0.0020443224
user_segment_Kotak_Karnataka_26-35,0.0020420724
fraud_ratio,0.0020401687
OCCUPATION_TYPE_Low-skill Laborers,0.002040053
user_segment_PNB_Andhra Pradesh_36-45,0.0020366572
AMT_REQ_CREDIT_BUREAU_YEAR,0.0020365557
user_segment_PNB_Rajasthan_26-35,0.0020353403
credit_vs_activity,0.002034913
NAME_TYPE_SUITE_Children,0.0020331065
user_segment_HDFC_West Bengal_46-55,0.0020274688
user_segment_SBI_Karnataka_46-55,0.0020270809
user_segment_SBI_Gujarat_26-35,0.0020260059
ORGANIZATION_TYPE_Emergency,0.0020235695
total_transactions,0.0020202128
user_segment_Yes Bank_Karnataka_56+,0.002018323
NAME_HOUSING_TYPE_Office apartment,0.002017953
user_segment_PNB_Uttar Pradesh_26-35,0.002017761
OBS_60_CNT_SOCIAL_CIRCLE,0.0020173362
user_segment_IndusInd_Tamil Nadu_56+,0.0020167888
user_segment_SBI_Uttar Pradesh_46-55,0.002011131
user_segment_IndusInd_Delhi_46-55,0.0020047391
user_segment_Axis_Andhra Pradesh_46-55,0.0020031154
user_segment_Yes Bank_West Bengal_36-45,0.0020028837
user_segment_HDFC_Rajasthan_46-55,0.0019994278
user_segment_ICICI_Maharashtra_26-35,0.0019949996
user_segment_PNB_Rajasthan_56+,0.0019905479
ORGANIZATION_TYPE_Bank,0.0019867308
user_segment_HDFC_Gujarat_26-35,0.0019789112
OCCUPATION_TYPE_Managers,0.001973594
user_segment_IndusInd_Delhi_56+,0.0019731054
OCCUPATION_TYPE_Drivers,0.0019622725
ORGANIZATION_TYPE_Transport: type 3,0.001959538
user_segment_IndusInd_Tamil Nadu_46-55,0.0019574848
NAME_TYPE_SUITE_nan,0.0019549062
DAYS_REGISTRATION,0.0019546468
user_segment_HDFC_Delhi_56+,0.0019526508
REGION_POPULATION_RELATIVE,0.0019508896
user_segment_SBI_West Bengal_36-45,0.0019508487
user_segment_ICICI_Uttar Pradesh_46-55,0.0019506091
user_segment_Axis_Delhi_36-45,0.0019503514
user_segment_Axis_Telangana_18-25,0.0019500315
stability_index,0.0019492958
risk_behavior_score,0.0019488684
NAME_FAMILY_STATUS_Single / not married,0.0019476406
NAME_TYPE_SUITE_Other_A,0.0019440657
user_segment_IndusInd_Andhra Pradesh_18-25,0.0019435263
user_segment_Kotak_Maharashtra_18-25,0.0019427805
NAME_HOUSING_TYPE_Rented apartment,0.0019412556
weekend_ratio,0.0019397535
user_segment_Axis_Delhi_46-55,0.0019370607
ORGANIZATION_TYPE_Security Ministries,0.0019325385
